tradeId,prodTimestamp,replayTimestamp,deltaMs,match
1,2026-07-24T09:15:04.000Z,2026-07-24T09:15:04.000Z15,15,true
2,2026-07-24T09:16:04.000Z,2026-07-24T09:16:04.000Z15,15,true
3,2026-07-24T09:17:04.000Z,2026-07-24T09:17:04.000Z15,15,true
4,2026-07-24T09:18:04.000Z,2026-07-24T09:18:04.000Z15,15,true
5,2026-07-24T09:21:05.000Z,2026-07-24T09:21:05.000Z15,15,true
6,2026-07-24T09:22:05.000Z,2026-07-24T09:22:05.000Z15,15,true
7,2026-07-24T09:23:05.000Z,2026-07-24T09:23:05.000Z15,15,true
8,2026-07-24T09:24:06.000Z,2026-07-24T09:24:06.000Z15,15,true
9,2026-07-24T09:26:06.000Z,2026-07-24T09:26:06.000Z15,15,true
10,2026-07-24T09:27:06.000Z,2026-07-24T09:27:06.000Z15,15,true
11,2026-07-24T09:28:07.000Z,2026-07-24T09:28:07.000Z15,15,true
12,2026-07-24T09:29:07.000Z,2026-07-24T09:29:07.000Z15,15,true
13,2026-07-24T09:42:10.000Z,2026-07-24T09:42:10.000Z15,15,true
14,2026-07-24T09:48:11.000Z,2026-07-24T09:48:11.000Z15,15,true
15,2026-07-24T09:49:11.000Z,2026-07-24T09:49:11.000Z15,15,true
16,2026-07-24T09:55:12.000Z,2026-07-24T09:55:12.000Z15,15,true
17,2026-07-24T09:56:13.000Z,2026-07-24T09:56:13.000Z15,15,true
18,2026-07-24T10:03:14.000Z,2026-07-24T10:03:14.000Z15,15,true
19,2026-07-24T10:05:15.000Z,2026-07-24T10:05:15.000Z15,15,true
20,2026-07-24T10:08:15.000Z,2026-07-24T10:08:15.000Z15,15,true
21,2026-07-24T10:09:15.000Z,2026-07-24T10:09:15.000Z15,15,true
22,2026-07-24T10:10:16.000Z,2026-07-24T10:10:16.000Z15,15,true
23,2026-07-24T10:11:16.000Z,2026-07-24T10:11:16.000Z15,15,true
24,2026-07-24T10:17:17.000Z,2026-07-24T10:17:17.000Z15,15,true
25,2026-07-24T10:26:19.000Z,2026-07-24T10:26:19.000Z15,15,true
26,2026-07-24T10:46:23.000Z,2026-07-24T10:46:23.000Z15,15,true
27,2026-07-24T10:47:24.000Z,2026-07-24T10:47:24.000Z15,15,true
28,2026-07-24T10:48:24.000Z,2026-07-24T10:48:24.000Z15,15,true
29,2026-07-24T10:50:24.000Z,2026-07-24T10:50:24.000Z15,15,true
30,2026-07-24T10:51:25.000Z,2026-07-24T10:51:25.000Z15,15,true
31,2026-07-24T10:55:25.000Z,2026-07-24T10:55:25.000Z15,15,true
32,2026-07-24T10:59:26.000Z,2026-07-24T10:59:26.000Z15,15,true
33,2026-07-24T11:00:26.000Z,2026-07-24T11:00:26.000Z15,15,true
34,2026-07-24T11:01:27.000Z,2026-07-24T11:01:27.000Z15,15,true
35,2026-07-24T11:02:27.000Z,2026-07-24T11:02:27.000Z15,15,true
36,2026-07-24T11:03:27.000Z,2026-07-24T11:03:27.000Z15,15,true
37,2026-07-24T11:04:27.000Z,2026-07-24T11:04:27.000Z15,15,true
38,2026-07-24T11:05:28.000Z,2026-07-24T11:05:28.000Z15,15,true
39,2026-07-24T11:06:28.000Z,2026-07-24T11:06:28.000Z15,15,true
40,2026-07-24T11:07:28.000Z,2026-07-24T11:07:28.000Z15,15,true
41,2026-07-24T11:08:28.000Z,2026-07-24T11:08:28.000Z15,15,true
42,2026-07-24T11:09:28.000Z,2026-07-24T11:09:28.000Z15,15,true
43,2026-07-24T11:11:29.000Z,2026-07-24T11:11:29.000Z15,15,true
44,2026-07-24T11:13:29.000Z,2026-07-24T11:13:29.000Z15,15,true
45,2026-07-24T11:14:29.000Z,2026-07-24T11:14:29.000Z15,15,true
46,2026-07-24T11:15:30.000Z,2026-07-24T11:15:30.000Z15,15,true
47,2026-07-24T11:30:33.000Z,2026-07-24T11:30:33.000Z15,15,true
48,2026-07-24T11:32:33.000Z,2026-07-24T11:32:33.000Z15,15,true
49,2026-07-24T11:34:34.000Z,2026-07-24T11:34:34.000Z15,15,true
50,2026-07-24T11:36:34.000Z,2026-07-24T11:36:34.000Z15,15,true
