tradeId,symbol,direction,prodPnl,replayPnl,match
1,BTC/USD,SHORT,6.000000000000027,6.000000000000027,true
2,BTC/USD,SHORT,6.000000000000105,6.000000000000105,true
3,BTC/USD,SHORT,-3.000000000000018,-3.000000000000018,true
4,BTC/USD,SHORT,-3.00000000000025,-3.00000000000025,true
5,BTC/USD,SHORT,-3.0000000000001674,-3.0000000000001674,true
6,BTC/USD,SHORT,-3.0000000000000533,-3.0000000000000533,true
7,BTC/USD,SHORT,-3.000000000000036,-3.000000000000036,true
8,BTC/USD,SHORT,-3.000000000000165,-3.000000000000165,true
9,BTC/USD,SHORT,-3.000000000000141,-3.000000000000141,true
10,BTC/USD,SHORT,6.00000000000002,6.00000000000002,true
11,BTC/USD,SHORT,-3.000000000000209,-3.000000000000209,true
12,BTC/USD,SHORT,-3.0000000000002194,-3.0000000000002194,true
13,BTC/USD,LONG,-2.9999999999997713,-2.9999999999997713,true
14,BTC/USD,LONG,-3.000000000000017,-3.000000000000017,true
15,BTC/USD,LONG,5.999999999999738,5.999999999999738,true
16,BTC/USD,SHORT,-3.000000000000055,-3.000000000000055,true
17,BTC/USD,SHORT,-3.000000000000148,-3.000000000000148,true
18,BTC/USD,LONG,5.999999999999812,5.999999999999812,true
19,BTC/USD,SHORT,-3.000000000000177,-3.000000000000177,true
20,BTC/USD,LONG,-3.000000000000019,-3.000000000000019,true
21,BTC/USD,SHORT,-3.0000000000001323,-3.0000000000001323,true
22,BTC/USD,LONG,-3.0711504532203073,-3.0711504532203073,true
23,BTC/USD,LONG,6.12433830631734,6.12433830631734,true
24,BTC/USD,LONG,-3.2110534621086746,-3.2110534621086746,true
25,BTC/USD,SHORT,-3.000000000000178,-3.000000000000178,true
26,BTC/USD,SHORT,6.000000000000057,6.000000000000057,true
27,BTC/USD,SHORT,-3.000000000000042,-3.000000000000042,true
28,BTC/USD,SHORT,5.999999999999925,5.999999999999925,true
29,BTC/USD,SHORT,-2.99999999999998,-2.99999999999998,true
30,BTC/USD,SHORT,-3.0000000000001052,-3.0000000000001052,true
31,BTC/USD,SHORT,-3.000000000000064,-3.000000000000064,true
32,BTC/USD,SHORT,5.999999999999955,5.999999999999955,true
33,BTC/USD,LONG,-2.9999999999999454,-2.9999999999999454,true
34,BTC/USD,LONG,-2.9999999999997624,-2.9999999999997624,true
35,BTC/USD,LONG,-2.999999999999982,-2.999999999999982,true
36,BTC/USD,SHORT,-3.000000000000041,-3.000000000000041,true
37,BTC/USD,LONG,-2.9999999999998472,-2.9999999999998472,true
38,BTC/USD,LONG,5.9999999999998135,5.9999999999998135,true
39,BTC/USD,LONG,-2.9999999999998472,-2.9999999999998472,true
40,BTC/USD,LONG,-2.999999999999792,-2.999999999999792,true
41,BTC/USD,LONG,5.999999999999756,5.999999999999756,true
42,BTC/USD,LONG,5.999999999999784,5.999999999999784,true
43,BTC/USD,LONG,5.999999999999824,5.999999999999824,true
44,BTC/USD,LONG,-3.0000000000000218,-3.0000000000000218,true
45,BTC/USD,LONG,5.999999999999708,5.999999999999708,true
46,BTC/USD,SHORT,-3.0000000000002403,-3.0000000000002403,true
47,BTC/USD,LONG,-2.9999999999998885,-2.9999999999998885,true
48,BTC/USD,SHORT,-2.999999999999976,-2.999999999999976,true
49,BTC/USD,SHORT,-3.000000000000165,-3.000000000000165,true
50,BTC/USD,SHORT,-3.000000000000086,-3.000000000000086,true
