id,backendId,symbol,direction,entryDate,exitDate,entryPrice,exitPrice,result,pnl
1,trade_103,BTC/USD,SHORT,2026-07-24T09:15:04.000Z,2026-07-24T09:16:04.000Z,95337.72115500038,95051.70799153538,win,6.000000000000027
2,trade_104,BTC/USD,SHORT,2026-07-24T09:16:04.000Z,2026-07-24T09:17:04.000Z,95117.47107342262,94832.11866020235,win,6.000000000000105
3,trade_105,BTC/USD,SHORT,2026-07-24T09:17:04.000Z,2026-07-24T09:18:04.000Z,94763.68307997414,94905.8286045941,loss,-3.000000000000018
4,trade_106,BTC/USD,SHORT,2026-07-24T09:18:04.000Z,2026-07-24T09:19:04.000Z,94878.53948619823,95020.85729542754,loss,-3.00000000000025
5,trade_109,BTC/USD,SHORT,2026-07-24T09:21:05.000Z,2026-07-24T09:22:05.000Z,95221.33761747635,95364.16962390258,loss,-3.0000000000001674
6,trade_110,BTC/USD,SHORT,2026-07-24T09:22:05.000Z,2026-07-24T09:23:05.000Z,95181.11846020547,95323.89013789578,loss,-3.0000000000000533
7,trade_111,BTC/USD,SHORT,2026-07-24T09:23:05.000Z,2026-07-24T09:24:05.000Z,95120.00467647529,95262.68468349,loss,-3.000000000000036
8,trade_112,BTC/USD,SHORT,2026-07-24T09:24:06.000Z,2026-07-24T09:25:06.000Z,95200.94465747106,95343.74607445727,loss,-3.000000000000165
9,trade_114,BTC/USD,SHORT,2026-07-24T09:26:06.000Z,2026-07-24T09:27:06.000Z,95292.13912944675,95435.07733814092,loss,-3.000000000000141
10,trade_115,BTC/USD,SHORT,2026-07-24T09:27:06.000Z,2026-07-24T09:28:06.000Z,95046.66162542191,94761.52164054564,win,6.00000000000002
11,trade_116,BTC/USD,SHORT,2026-07-24T09:28:07.000Z,2026-07-24T09:29:07.000Z,94785.29561902124,94927.47356244978,loss,-3.000000000000209
12,trade_117,BTC/USD,SHORT,2026-07-24T09:29:07.000Z,2026-07-24T09:30:07.000Z,95280.40451636267,95423.32512313723,loss,-3.0000000000002194
13,trade_130,BTC/USD,LONG,2026-07-24T09:42:10.000Z,2026-07-24T09:43:10.000Z,97130.23346322746,96984.53811303263,loss,-2.9999999999997713
14,trade_136,BTC/USD,LONG,2026-07-24T09:48:11.000Z,2026-07-24T09:49:11.000Z,97046.30671618064,96900.73725610637,loss,-3.000000000000017
15,trade_137,BTC/USD,LONG,2026-07-24T09:49:11.000Z,2026-07-24T09:50:11.000Z,97102.63979863217,97393.94771802805,win,5.999999999999738
16,trade_143,BTC/USD,SHORT,2026-07-24T09:55:12.000Z,2026-07-24T09:56:12.000Z,97182.5276797639,97328.30147128354,loss,-3.000000000000055
17,trade_144,BTC/USD,SHORT,2026-07-24T09:56:13.000Z,2026-07-24T09:57:13.000Z,97297.76157645883,97443.70821882352,loss,-3.000000000000148
18,trade_151,BTC/USD,LONG,2026-07-24T10:03:14.000Z,2026-07-24T10:04:14.000Z,97812.66364829999,98106.10163924488,win,5.999999999999812
19,trade_153,BTC/USD,SHORT,2026-07-24T10:05:15.000Z,2026-07-24T10:06:15.000Z,98536.20369662919,98684.00800217415,loss,-3.000000000000177
20,trade_156,BTC/USD,LONG,2026-07-24T10:08:15.000Z,2026-07-24T10:09:15.000Z,98290.71447891509,98143.27840719672,loss,-3.000000000000019
21,trade_157,BTC/USD,SHORT,2026-07-24T10:09:15.000Z,2026-07-24T10:10:15.000Z,98131.51390327212,98278.71117412703,loss,-3.0000000000001323
22,trade_158,BTC/USD,LONG,2026-07-24T10:10:16.000Z,2026-07-24T10:11:16.000Z,98253.93991090509,98103.06359486106,loss,-3.0711504532203073
23,trade_159,BTC/USD,LONG,2026-07-24T10:11:16.000Z,2026-07-24T10:12:16.000Z,98472.93629222951,98774.47708016454,win,6.12433830631734
24,trade_165,BTC/USD,LONG,2026-07-24T10:17:17.000Z,2026-07-24T10:18:17.000Z,99035.98669388749,98876.98176991411,loss,-3.2110534621086746
25,trade_174,BTC/USD,SHORT,2026-07-24T10:26:19.000Z,2026-07-24T10:27:19.000Z,99404.39297265056,99553.49956210954,loss,-3.000000000000178
26,trade_194,BTC/USD,SHORT,2026-07-24T10:46:23.000Z,2026-07-24T10:47:23.000Z,101435.00009688336,101130.69509659271,win,6.000000000000057
27,trade_195,BTC/USD,SHORT,2026-07-24T10:47:24.000Z,2026-07-24T10:48:24.000Z,100950.45193815268,101101.87761605991,loss,-3.000000000000042
28,trade_196,BTC/USD,SHORT,2026-07-24T10:48:24.000Z,2026-07-24T10:49:24.000Z,101019.26488375106,100716.20708909981,win,5.999999999999925
29,trade_198,BTC/USD,SHORT,2026-07-24T10:50:24.000Z,2026-07-24T10:51:24.000Z,100735.6193544602,100886.72278349189,loss,-2.99999999999998
